num,text,timestamp,label,location,date,resources,clean_text
0,RT @uberdogfound: Please RT - Food needed for shelter in NC in area that was hit hard by tornado. Please contact us at…,1970-01-01 00:00:00.000040657,1,Mumbai,1970-01-01,"['food', 'shelter']",rt please rt food needed shelter nc area that hit hard tornado please contact us
1,Please RT - Food needed for shelter in NC in area that was hit hard by tornado.  Please contact us at info@uberdogfoundation.org to help!,1970-01-01 00:00:00.000040657,1,Hyderabad,1970-01-01,"['food', 'shelter']",please rt food needed shelter nc area that hit hard tornado please contact us infoorg help
3,‚ô°its raining and tornado warnings....about to be in a coma from eating all this food in a few!!!‚òª‚òª,1970-01-01 00:00:00.000040657,1,Chennai,1970-01-01,['food'],its raining tornado warningsabout be coma eating this food
9,Lmao #damn RT @LuCeCaNNoNn: If I don't get any food I hope the tornado blow all yall food out yall mouth #SoIDC,1970-01-01 00:00:00.000040657,1,Mumbai,1970-01-01,['food'],lmao rt if i dont get food i hope tornado blow yall food out yall mouth
10,Saved by the tornado warning....I'm just ready to eat this good food,1970-01-01 00:00:00.000040657,0,Kolkata,1970-01-01,['food'],saved tornado warningim ready eat this good food
12,uh...no more food please Mr. @mlp_spike ..my tummy already hurts from too much candy *his face is a bit green*,1970-01-01 00:00:00.000040657,1,Mumbai,1970-01-01,['food'],uhno food please mr my tummy already hurts much candy his face bit green
14,We'll be accepting donations of food to be distributed to tornado victims in the eastern part of the state at today's @wsdashbaseball game!,1970-01-01 00:00:00.000040657,0,Mumbai,1970-01-01,['food'],well be accepting donations food be distributed tornado victims eastern part state todays game
15,"Go, See, Do: At the game, Lowes Foods will be accepting donations of food to be distributed to tornado victims i... http://bit.ly/gSosPk",1970-01-01 00:00:00.000040657,0,Chennai,1970-01-01,['food'],go see do game lowes foods be accepting donations food be distributed tornado victims i
16,"Tornado steals fast food: 
									
									Took his burger, fries AND drink? Oh, no, it didn't!
									Tags... http://bit.ly/h4FnGU",1970-01-01 00:00:00.000040657,1,Kolkata,1970-01-01,['food'],tornado steals fast food took his burger fries drink oh it didnt tags
17,Raleigh neighbors reach out to tornado victims: A Raleigh neighborhood put together a spontaneous food and cloth... http://bit.ly/dYnaOc,1970-01-01 00:00:00.000040657,0,Delhi,1970-01-01,['food'],raleigh neighbors reach out tornado victims raleigh neighborhood put together spontaneous food cloth
18,"Wow! Crazy day getting food for this week. Tornado warnings, taking shelter in the back of the store with others,... http://fb.me/zJVBpmfg",1970-01-01 00:00:00.000040657,0,Chennai,1970-01-01,"['food', 'shelter']",wow crazy day getting food this week tornado warnings taking shelter back store others
39,"@crystalchappell HELP! STL TORNADO VICTIMS call United Way 18664447669. Many have lost everything! NEED: Shelter, Food, Water, Clothes",1970-01-01 00:00:00.000040658,0,Mumbai,1970-01-01,"['food', 'water', 'shelter']",help stl tornado victims call united way many have lost everything need shelter food water clothes
40,My car is a mess. Both my rooms are tornado zones. My food is gone. And my bank account is empty. Quadfest was (cont) http://tl.gd/a300df,1970-01-01 00:00:00.000040658,1,Mumbai,1970-01-01,['food'],my car mess my rooms tornado zones my food gone my bank account empty quadfest cont
41,RT @RalDowntowner Food+10 bands TirNaNog tornado victim benefit. Can't think of better way 2 spend tomorrow night. http://bit.ly/hbssGf  #fb,1970-01-01 00:00:00.000040658,0,Mumbai,1970-01-01,['food'],rt food bands tirnanog tornado victim benefit cant think better way spend tomorrow night
42,Food + 10 local bands at Tir Na Nog's tornado victim benefit. I can't think of a better way to spend tomorrow night. http://bit.ly/hbssGf,1970-01-01 00:00:00.000040658,0,Kolkata,1970-01-01,['food'],food local bands tir na nogs tornado victim benefit i cant think better way spend tomorrow night
43,food coma. tornado. i just want to sleep.,1970-01-01 00:00:00.000040658,1,Delhi,1970-01-01,['food'],food coma tornado i want sleep
46,"this dude in my first period was talking about him & his ""brothers"" was robbing FOOD LION when the power went out during the tornado. . .",1970-01-01 00:00:00.000040658,1,Kolkata,1970-01-01,['food'],this dude my first period talking him his brothers robbing food lion when power went out during tornado
48,"So after these long tests, stuck in d building cuz of tornado and that also means no food from aunt! Just like yesterday! Fuckn tornado!!!",1970-01-01 00:00:00.000040658,1,Delhi,1970-01-01,['food'],these long tests stuck d building cuz tornado that also means food aunt like yesterday fuckn tornado
49,This is at UNT RT @TheHonorableJ In basement of Chilton Hall due to tornado siren. Lots of people. No food.,1970-01-01 00:00:00.000040658,1,Bangalore,1970-01-01,['food'],this unt rt basement chilton hall due tornado siren lots people food
50,In basement of Chilton Hall due to tornado siren. Lots of people. No food.,1970-01-01 00:00:00.000040658,1,Mumbai,1970-01-01,['food'],basement chilton hall due tornado siren lots people food
51,"TV News for 99.99% of you not in jail: Hoped to fill 2 tractor trailers for tornado survivors. We filled 4! Food, supplies & hope on the way",1970-01-01 00:00:00.000040658,1,Delhi,1970-01-01,['food'],tv news you jail hoped fill tractor trailers tornado survivors we filled food supplies hope way
54,"HELP! STL Tornado Victims: PLS Call United Way @ 18664447669 Many lost 'everthing'! Need shelter, food, water, clothing.",1970-01-01 00:00:00.000040658,1,Hyderabad,1970-01-01,"['food', 'water', 'shelter']",help stl tornado victims pls call united way many lost everthing need shelter food water clothing
57,Don't forget we are taking pet food donations through the end of this week for tornado/storm victims! Thx to everyone that has given so far!,1970-01-01 00:00:00.000040658,0,Delhi,1970-01-01,['food'],dont forget we taking pet food donations through end this week tornadostorm victims thx everyone that has given far
78,Video: Aftermath of St. Louis Tornado http://sy.ly/VQ2sC #diet #workout #sugar #obesity #fit #fitness #carbs #food #nutrition #health,1970-01-01 00:00:00.000040658,1,Bangalore,1970-01-01,['food'],video aftermath st louis tornado
79,Tornado Steals Fast Food [Video] http://2leep.com/news/173103/,1970-01-01 00:00:00.000040658,1,Mumbai,1970-01-01,['food'],tornado steals fast food video
80,So blessed by the Baptist Men and @RedCross continuing to serve food in our community and clean up tornado debris even on Easter Sunday.,1970-01-01 00:00:00.000040658,0,Chennai,1970-01-01,['food'],blessed baptist men continuing serve food our community clean tornado debris even easter sunday
81,=@Tornado__Nateee idk i watch everything lol the kardashians. ummm travel channel bizarre foods with andrew zimmern. etc lolz,1970-01-01 00:00:00.000040658,1,Mumbai,1970-01-01,['food'],idk i watch everything lol kardashians ummm travel channel bizarre foods andrew zimmern etc lolz
85,"Day 321: Fast Food Tornado ‚Äì I try not to eat out a lot, but you wouldn‚Äôt know it by looking at the floor on the p http://twitpic.com/4p5nq6",1970-01-01 00:00:00.000040658,1,Chennai,1970-01-01,['food'],day fast food tornado i try eat out lot but you wouldnt know it looking floor p
87,Last nite stl had a tornado storm scary as hell now I'm adt home with no lites praying everything up and running b4 my food spoils sadface,1970-01-01 00:00:00.000040656,1,Mumbai,1970-01-01,['food'],last nite stl had tornado storm scary as hell now im adt home lites praying everything running b my food spoils sadface
89,"Easter weekend = lots of good food, egg dyeing, & apparently tornado warnings also!",1970-01-01 00:00:00.000040656,0,Chennai,1970-01-01,['food'],easter weekend lots good food egg dyeing apparently tornado warnings also
90,RT @vocalbeing TSA: ATTENTION PLZ IF U ARE W/OUT FOOD OR WATER DUE TO THE TORNADO THE RESIDENTS OF BERKELEY CAN (cont) http://tl.gd/a1lakj,1970-01-01 00:00:00.000040656,1,Delhi,1970-01-01,"['food', 'water']",rt tsa attention plz if u wout food water due tornado residents berkeley cont
93,Tornado Victim Food/Clothes Drive http://nblo.gs/h1irJ,1970-01-01 00:00:00.000040656,0,Delhi,1970-01-01,['food'],tornado victim foodclothes drive
94,Tornado Victim Food/Clothes Drive http://wp.me/pj8WW-9l,1970-01-01 00:00:00.000040656,0,Chennai,1970-01-01,['food'],tornado victim foodclothes drive
95,Is a waterbaby. Red Cross disaster relief truck came with hot meals where we were cleaning.. tears flowed.#tornado seeing kids go for food,1970-01-01 00:00:00.000040656,0,Bangalore,1970-01-01,"['food', 'water']",waterbaby red cross disaster relief truck came hot meals where we cleaning tears flowed seeing kids go food
96,"*Breaking* St. Louis airport damaged and closed by tornado: Filed under: Business, North America, United States,... http://bit.ly/gra3tv",1970-01-01 00:00:00.000040656,1,Hyderabad,1970-01-01,[],breaking st louis airport damaged closed tornado filed business north america united states
100,@HELENSStudio Morning Helen. Thanks for spreading word about @AuntKerry 's pet food drive for tornado victims.  http://is.gd/xWaXtR  #ILM,1970-01-01 00:00:00.000040656,0,Kolkata,1970-01-01,['food'],morning helen thanks spreading word s pet food drive tornado victims
