tweet,cleaned_text,is_request,confidence,resource,timestamp
Need food and water urgently in Chennai!,need food water urgently chennai,True,0.7747061848640442,food,2025-06-27 10:47:17.528769
Shelter required for family of 4 in Mumbai,shelter required family mumbai,False,0.0378183498978614,not_applicable,2025-06-27 10:47:17.528774
Medical help needed for elderly person,medical help needed elderly person,True,0.8690639734268188,medical aid,2025-06-27 10:47:17.528776
Rescue team needed in flooded area,rescue team needed flooded area,False,0.0493804737925529,not_applicable,2025-06-27 10:47:17.528777
Clothes and blankets needed for children,clothes blankets needed children,False,0.0488165877759456,not_applicable,2025-06-27 10:47:17.528777
The weather is nice today,weather nice today,False,0.0594551041722297,not_applicable,2025-06-27 10:47:17.528778
Going to the grocery store,going grocery store,False,0.0224993471056222,not_applicable,2025-06-27 10:47:17.528779
Having dinner with friends,having dinner friends,False,0.0279536172747612,not_applicable,2025-06-27 10:47:17.528782
Need immediate medical assistance,need immediate medical assistance,True,0.8644131422042847,medical aid,2025-06-27 10:47:17.528784
Water supply cut off in our area,water supply cut off our area,True,0.9200206995010376,water,2025-06-27 10:47:17.528785
Food shortage in the neighborhood,food shortage neighborhood,False,0.0588428191840648,not_applicable,2025-06-27 10:47:17.528785
Emergency shelter needed for displaced families,emergency shelter needed displaced families,True,0.6209651231765747,shelter,2025-06-27 10:47:17.528786
Rescue operations ongoing in the affected area,rescue operations ongoing affected area,False,0.0732471123337745,not_applicable,2025-06-27 10:47:17.528787
Medical supplies running low,medical supplies running low,False,0.2275469154119491,not_applicable,2025-06-27 10:47:17.528787
Clothing donations needed for victims,clothing donations needed victims,False,0.0131474714726209,not_applicable,2025-06-27 10:47:17.528788
Just finished my homework,just finished my homework,False,0.1601166129112243,not_applicable,2025-06-27 10:47:17.528788
Watching a movie tonight,watching movie tonight,False,0.057365920394659,not_applicable,2025-06-27 10:47:17.528789
Going for a walk in the park,going walk park,False,0.4821697771549225,not_applicable,2025-06-27 10:47:17.528790
Cooking dinner for the family,cooking dinner family,False,0.1503267586231231,not_applicable,2025-06-27 10:47:17.528790
Reading a good book,reading good book,True,0.8292738199234009,unspecified resource,2025-06-27 10:47:17.528791
Need food and water urgently in Chennai!,need food water urgently chennai,True,0.7747061848640442,food,2025-06-27 10:47:17.528792
Shelter required for family of 4 in Mumbai,shelter required family mumbai,False,0.0378183498978614,not_applicable,2025-06-27 10:47:17.528792
Medical help needed for elderly person,medical help needed elderly person,True,0.8690639734268188,medical aid,2025-06-27 10:47:17.528793
Rescue team needed in flooded area,rescue team needed flooded area,False,0.0493804737925529,not_applicable,2025-06-27 10:47:17.528794
Clothes and blankets needed for children,clothes blankets needed children,False,0.0488165877759456,not_applicable,2025-06-27 10:47:17.528794
The weather is nice today,weather nice today,False,0.0594551041722297,not_applicable,2025-06-27 10:47:17.528795
Going to the grocery store,going grocery store,False,0.0224993471056222,not_applicable,2025-06-27 10:47:17.528795
Having dinner with friends,having dinner friends,False,0.0279536172747612,not_applicable,2025-06-27 10:47:17.528796
Need immediate medical assistance,need immediate medical assistance,True,0.8644131422042847,medical aid,2025-06-27 10:47:17.528797
Water supply cut off in our area,water supply cut off our area,True,0.9200206995010376,water,2025-06-27 10:47:17.528797
Food shortage in the neighborhood,food shortage neighborhood,False,0.0588428191840648,not_applicable,2025-06-27 10:47:17.528798
Emergency shelter needed for displaced families,emergency shelter needed displaced families,True,0.6209651231765747,shelter,2025-06-27 10:47:17.528799
Rescue operations ongoing in the affected area,rescue operations ongoing affected area,False,0.0732471123337745,not_applicable,2025-06-27 10:47:17.554660
Medical supplies running low,medical supplies running low,False,0.2275469154119491,not_applicable,2025-06-27 10:47:17.554665
Clothing donations needed for victims,clothing donations needed victims,False,0.0131474714726209,not_applicable,2025-06-27 10:47:17.554666
Just finished my homework,just finished my homework,False,0.1601166129112243,not_applicable,2025-06-27 10:47:17.554667
Watching a movie tonight,watching movie tonight,False,0.057365920394659,not_applicable,2025-06-27 10:47:17.554668
Going for a walk in the park,going walk park,False,0.4821697771549225,not_applicable,2025-06-27 10:47:17.554668
Cooking dinner for the family,cooking dinner family,False,0.1503267586231231,not_applicable,2025-06-27 10:47:17.554669
Reading a good book,reading good book,True,0.8292738199234009,unspecified resource,2025-06-27 10:47:17.554672
Need food and water urgently in Chennai!,need food water urgently chennai,True,0.7747061848640442,food,2025-06-27 10:47:17.554673
Shelter required for family of 4 in Mumbai,shelter required family mumbai,False,0.0378183498978614,not_applicable,2025-06-27 10:47:17.554674
Medical help needed for elderly person,medical help needed elderly person,True,0.8690639734268188,medical aid,2025-06-27 10:47:17.554675
Rescue team needed in flooded area,rescue team needed flooded area,False,0.0493804737925529,not_applicable,2025-06-27 10:47:17.554675
Clothes and blankets needed for children,clothes blankets needed children,False,0.0488165877759456,not_applicable,2025-06-27 10:47:17.554676
The weather is nice today,weather nice today,False,0.0594551041722297,not_applicable,2025-06-27 10:47:17.554677
Going to the grocery store,going grocery store,False,0.0224993471056222,not_applicable,2025-06-27 10:47:17.554677
Having dinner with friends,having dinner friends,False,0.0279536172747612,not_applicable,2025-06-27 10:47:17.554678
Need immediate medical assistance,need immediate medical assistance,True,0.8644131422042847,medical aid,2025-06-27 10:47:17.554679
Water supply cut off in our area,water supply cut off our area,True,0.9200206995010376,water,2025-06-27 10:47:17.554680
Food shortage in the neighborhood,food shortage neighborhood,False,0.0588428191840648,not_applicable,2025-06-27 10:47:17.554680
Emergency shelter needed for displaced families,emergency shelter needed displaced families,True,0.6209651231765747,shelter,2025-06-27 10:47:17.554681
Rescue operations ongoing in the affected area,rescue operations ongoing affected area,False,0.0732471123337745,not_applicable,2025-06-27 10:47:17.554681
Medical supplies running low,medical supplies running low,False,0.2275469154119491,not_applicable,2025-06-27 10:47:17.554682
Clothing donations needed for victims,clothing donations needed victims,False,0.0131474714726209,not_applicable,2025-06-27 10:47:17.554682
Just finished my homework,just finished my homework,False,0.1601166129112243,not_applicable,2025-06-27 10:47:17.554683
Watching a movie tonight,watching movie tonight,False,0.057365920394659,not_applicable,2025-06-27 10:47:17.554683
Going for a walk in the park,going walk park,False,0.4821697771549225,not_applicable,2025-06-27 10:47:17.554684
Cooking dinner for the family,cooking dinner family,False,0.1503267586231231,not_applicable,2025-06-27 10:47:17.554684
Reading a good book,reading good book,True,0.8292738199234009,unspecified resource,2025-06-27 10:47:17.554685
Need food and water urgently in Chennai!,need food water urgently chennai,True,0.7747061848640442,food,2025-06-27 10:47:17.554686
Shelter required for family of 4 in Mumbai,shelter required family mumbai,False,0.0378183498978614,not_applicable,2025-06-27 10:47:17.554686
Medical help needed for elderly person,medical help needed elderly person,True,0.8690639734268188,medical aid,2025-06-27 10:47:17.554687
Rescue team needed in flooded area,rescue team needed flooded area,False,0.0493804737925529,not_applicable,2025-06-27 10:47:17.554687
Clothes and blankets needed for children,clothes blankets needed children,False,0.0488165877759456,not_applicable,2025-06-27 10:47:17.577094
The weather is nice today,weather nice today,False,0.0594551041722297,not_applicable,2025-06-27 10:47:17.577098
Going to the grocery store,going grocery store,False,0.0224993471056222,not_applicable,2025-06-27 10:47:17.577099
Having dinner with friends,having dinner friends,False,0.0279536172747612,not_applicable,2025-06-27 10:47:17.577099
Need immediate medical assistance,need immediate medical assistance,True,0.8644131422042847,medical aid,2025-06-27 10:47:17.577101
Water supply cut off in our area,water supply cut off our area,True,0.9200206995010376,water,2025-06-27 10:47:17.577102
Food shortage in the neighborhood,food shortage neighborhood,False,0.0588428191840648,not_applicable,2025-06-27 10:47:17.577103
Emergency shelter needed for displaced families,emergency shelter needed displaced families,True,0.6209651231765747,shelter,2025-06-27 10:47:17.577103
Rescue operations ongoing in the affected area,rescue operations ongoing affected area,False,0.0732471123337745,not_applicable,2025-06-27 10:47:17.577104
Medical supplies running low,medical supplies running low,False,0.2275469154119491,not_applicable,2025-06-27 10:47:17.577104
