text,label
"@MarkSDobson I always thought that, big lad aint he, must pump some serious lead! Unless he is on the gear like @darrennorton60 #Jabber",0
@thamonstar a lot of water moving around and a bit dirty. Probably should give it a miss today,1
"Craig Thompson to be extradited to Victoria on 149 fraud charges. Oh to be on the plane, with him in handcuffs. #auspol",0
"Sunshine state, sort your shit out.",0
@MarkPhilippi yeah I saw it. He's a wanker. Paul Kent was brilliant at that,0
@Purpletiger79 I really enjoyed doing a photo a day. I think Ima continue &amp; do Feb. Are you?,0
The Sunshine Coast? @ Noosa Heads http://t.co/mgPOgMbF,0
"Okay, new favourite piracy metaphor: paying for content as buying indulgences for the sin of piracy.",0
WHAT MY GUM IS ALL SWOLLEN OMG AM I GOING TO DIE,0
Sun and Waves. #finally @ Palm Beach http://t.co/PPfDVzJB,0
My toe is in so much pain arghhhh,0
@RehdersCorner Both @pressdarling and @GigaRussian are eligible for the NBA perk. Maybe one of them can give you their code? :),0
"To ALL of my friends,in the UK &amp; Australia,stay safe &amp; look after yourself &amp; your loved ones",1
Looking at what new piercings I can get in the future wish I had  (@ Skin Candy) http://t.co/LmgdJwMc,0
@thejay_i_h He doesn't know I've made a list let alone him being at the top of it,0
Get over it Choc you lost.  Anyone with half a brain could see it. http://t.co/ythaSNX6,0
Like I don't even remember the born this way or monster balls it still seems surreal idk,0
@LiamPayne69me hey babe could I please get a follow :),0
I just ousted @benhamilton as the mayor of Pizza Lane on @foursquare! http://t.co/TsXgQqdt,0
@larryemdur you have my vote!,0
@LozzKip I know I was a bit scared :(,0
@NiallOfficial can I make you a cake? Which type,0
What if the boys come to Movie World when I'm working next week OMG,0
@StevieDacanay i wish i could afford to fly over from Oz for this!,0
Coming up on @TheTodayShow the 2 Gold Coast surf rescue heroes Nick &amp; Angus http://t.co/cpdHmuBr,0
@R_McEwan @greglovey not yet buddy but 2 good lookin' civvy's like yourselves finding a job should be easy I'll even provide the pool table!,0
Waiting out the storm  with slipped_diss  @ Kookaburra Cafe http://t.co/Pwubs60t,1
@peacelovevegan I have BG on my list to watch.,0
@Ellendoughty it's ridiculous how they're implying that first and foremost it's the victim's fault... Fucking disgusting.,0
#FitzroyRiver catchment is 2nd largest in #AUS and peak not expected to hit #Rockhampton for another week! #BigWet #QldFloods,1
"Me, Dallas and joeeyy33 . We on that patron boys !! #fuckinwasted #drunkennights #kayjays21st @ Hot Gossip http://t.co/aMISLwdE",0
Works was hectic today. So much drama for one small business :/,0
@yougomarniecoco that's what they are saying.,0
I DUN LIKE MY MATH AND BUSINESS CLASS HERE. K bye.,0
@PuddStrikesBack *damn fat fingers* and you could cock punch him in the bacon bits,0
I've finally seen the wind turbines! Impressive! (@ Windy Hill Wind Farm w/ @mr_billiam) http://t.co/wMYAswl8,0
Enjoying your #AustraliaDay holiday? Check my blog post! http://t.co/zjPIX0FN #Australia #indigenous,0
@Cast_Nath @sbear0112 wow that was a while ago,0
@MicalSpears4SBF Friday is over Saturday is here where I am off to support INM at an aboriginal corroboree. Blessings on you &amp; your Friday..,0
@LittleBirdie87 Ugh he's just so condescending and pretentious. It's a pity they're the Queensland team.,0
Using lunch break to take photos for CV. #ActorLife,0
@Abloorable well done. You forgot to mention 86 twitter accounts!,0
son and family have tickets for the Keith urban concert flew down on Friday disappointed #themthebreaks,0
Friday market (at Elizabeth Street) [pic]  http://t.co/3jQ38CZ1,0
@sherwin 1000 pages is far too long for my feeble brain right now,0
Mhmm watching basketball on tv ATM and them hot cheerleaders! Holy shit! 8=========D,0
@Sky_W82 lol i dont like photos of me.,0
".....the rowing club next to out apartment block is underwater, warm &amp; wet....",1
@9NewsBrisbane: RT @jsthirtyfive: QLD police couldn't resist having a hell time. #bigwet http://t.co/u5KjAKtB,0
"@sbear0112 DVDs have different region codes, so American/Canada is 1, UK is 2 and Australia/NZ are region 4",0
just realised that year 12 &amp; uni is not gonna be easy. 2013 will be a massive bang bang year indeed.,0
@Katy_Potaty yes! I also own by any means as well - total wanderlust I have.,0
"@invig There is no IPC protocol at all for iOS right now. Zero. At the moment, any inter-app is done purely via URLs.",0
There's another Assasin's creed? :o,0
North end of Clarendon St in East Brisbane is flooded :/ #bigwet http://t.co/uMzPDtbi,1
@yvonnetrinh Haha oh nice! I need to do some excercise today bahahha but yes I don't mind them :) will invest in more in the future,0
Back again (@ Broncos Leagues Club) http://t.co/DIg6LQVG,0
Spear fishing in the Coral Sea. I caught a beetle. http://t.co/Ujgm1j5e,0
"@Caarlax ...aww I start work before sunrise, plus there's no beach, i work in the desert haha #scunered x",0
@jimpeeps  it is mate unreal place is jus different class so chilled defo recommend it to any1 #thelife,0
@jennifer_hewett: Double standards on sexism@jennifer.hewett  http://t.co/I5o9yGIM I enjoyed the read. All too true.,0
@dloehr Is this the remake with Spacey and Wright thats gone straight to Netflix?,0
@JennifLawrence_ what's your favourite thing to do in your free time?,0
so happy its the weekend,0
#no cassie - end of the line,0
Connect training. Booyeah (@ W Block w/ @mas6er) http://t.co/1n77dCqq,0
Just posted a photo @ Yard Bird Ale House http://t.co/xwHJk7hc,0
is this real account ?@MadhokNiketan,0
"@laurabriscoe1 I ment on it* as in in Australia ATM lol, my bad ;p",0
"@rosatronix no worries! Ill be trying to get it sold soon, just not sure how much yet.",0
"I'm at Sourced Grocer (Teneriffe, QLD) http://t.co/FLweKFYN",0
People ask me what I miss the most! I say a good relationship with my dad! And my pop and my baby cousin! They mean everything to me!,0
@NewsTalk4BC  we have blue sky at redcliffe and no wind http://t.co/ISP4enKC,0
"The #weather just starts getting good and we're heading back home today. Haha @ Outrigger Resort, Noosaville http://t.co/AXgZNykx",0
@marco_harko ooooooor I'll just smash ya all over again wen m home!! #fifagod,0
The flooding in firth park is insane!! Mudgeeraba Creek is putting on a show!!! Not one you get involved in tho its view from a distance!,1
@browny_26 #lol #dwl they told me know one would see it lol #classic ... Good one I'm good lover ... How r ya?,0
"@hello_nacho yes and yes, theyre great huh!!!",0
"@essemmeff def, I slow roasted two legs of lamb hickory smoked too for about 5 hours",0
@Laura_Hartwell same as our pool! I just wanna jump in,0
@verityforster yes please I'm dying for it,0
"If you received a book off me for Xmas today is the day it's due back at the library , thanks :)",0
@carriewinatlife how's it going insomniac?,0
Let's go to sleep! Zzzzzz (at Regatta Hotel)  http://t.co/fJzWrac8,0
@Vaish_Red_Devil the thing is we haven't tried to press them. Like when we play big teams away all we do is play counter.,0
I think the @telstra data accounting is messed up?  2 months in a row I have somehow used 1 gig on the first day????? http://t.co/An8bOr9h,0
FUCK THATS RIGHT I'VE GOT FUCKING MATH HOMEWORK SIGH WHY DOES THIS HAPPEN,0
@weekndkngracing @thegeneralwkr in patches have played well but still not back in the groove..,0
I work 11:30 - 2:45 this tuesday like what kind of ridiculousness is that????? two hours and forty five minutes r u kidding,0
Tree down at Crosby park in storms last night #bneweather http://t.co/6G18HGxe,1
Just want to feel wanted.,0
@laurenwilson89 well I am a love fool,0
@saenyear I'm gonna hand it in tomorrow :) hopefully they hire me :( What are they gonna look for in a potential worker :D,0
@IGetItDon3 hahhaa . U at work? Aww wats the time there?,0
I drew this. Not hazigates #sketch #superbike  @ Aviation Australia http://t.co/Pbh3JUU9,0
"Here we go again, keep safe everyone! #nofilter @ Albion http://t.co/s1gSpyEx",1
"If this weather system came through on December 21st, would we have panicked more? #bigwet #bnestorm #bnestorm #apocalypse #mayan #endworld",0
@piecritic Oscar season = DVD screeners.,0
A little too close for comfort... #cyclone #wet #floodedin #downthestreet @ Coorparoo http://t.co/iUGUHN6h,1
@inmoxiecated So baggy trousers and half-eaten ice cream?,0
Soccer mums ;) (@ St Joseph's Nudgee Junior College) http://t.co/50LrwnIx,0
@NickoTaylor_ Rock v Punk will be on last. No way Rock will have anyone go on after him,0
That's it who unfollowed me? #Cake ha,0
Longest wait ever to charge my phone. Now I'm back home in the darkness :(,0
Anyone here that lives on the gold coast aswell?,1
@georgiaharford I don't even know! Probably be quite a while! Xx,0
Fuck this shit what happened that is bullshit. Fuck you CM Punk. #RoyalRumble,0
@badealways: @EmilyxRose92 AT LEAST YOU CAN SAIL ON THE JORI SHIP SCREAMKSNGJSO,0
@DBreban couldn't agree more with the dam management. Put an engineer in charge and we have leadership on infrastructure and saving us money,0
